title,link,location,original_price,price,end_date
Tint Crew,https://www.livingsocial.com/deals/1638622-tinting-for-2-or-5-car-windows,"Buena Park, CA", 80,39,
Beyond Cleaning,https://www.livingsocial.com/deals/1637282-house-cleaning-and-organization-services,Los Angeles Area, 115,59,
Irvine Improv,https://www.livingsocial.com/deals/1615190-tickets-to-your-choice-of-comedy-show,"Irvine, CA", 100,20,
OC Helicopters,https://www.livingsocial.com/deals/1641880-15-or-20-minute-helicopter-tour-for-2-people,"Santa Ana, CA", 398,238,
Makani Catamaran,https://www.livingsocial.com/deals/1640442-dinner-sunset-sail-cruise,"Honolulu, HI", 117,65,
Legacybox Media Conversion Kit - 5 Options,https://www.livingsocial.com/deals/1638664-legacybox-media-conversion-kit-5-options,, 75,27,
Cosmetic Laser Center,https://www.livingsocial.com/deals/1635618-botox-juvederm-restylane-or-dysport,"Los Angeles, CA", 960,399,
Indulgence Day & Med Spa,https://www.livingsocial.com/deals/1602608-one-hour-massage-package-or-facial-package,"Long Beach, CA", 99,42,
Herzog Wine Cellars,https://www.livingsocial.com/deals/1646804-baron-herzog-gift-set-with-wine-tasting,"Oxnard, CA", 107,53,
Bixby Laser Center,https://www.livingsocial.com/deals/1631136-5-laser-hair-treatments,"Long Beach, CA", 500,99,
Rancho Cucamonga Laser Like Lipo,https://www.livingsocial.com/deals/1647612-laser-like-lipo-sessions,"Rancho Cucamonga, CA", 340,59,
Oriental Health and Pain Management Center,https://www.livingsocial.com/deals/1647982-acupuncture-facials-with-mask-and-facial-massages,"Los Angeles, CA", 60,35,
Sushi Zen Maru,https://www.livingsocial.com/deals/1613138-1-hour-sushi-making-class-with-rolls-to-eat,"Long Beach, CA", 60,34,
Tustin Bodywork Bistro,https://www.livingsocial.com/deals/1604562-swedish-or-deep-tissue-massage,"Tustin, CA", 80,36,
Old World German Restaurant,https://www.livingsocial.com/deals/1631192-german-ultimate-feast-for-2,"Huntington Beach, CA", 41,24,
Gravity Med Spa,https://www.livingsocial.com/deals/1624012-lumenis-ipl-or-fractional-laser-treatments,"Irvine, CA", 499,99,
Pacific Wilderness,https://www.livingsocial.com/deals/1529054-4-day-padi-open-water-certification-course,"San Pedro, CA", 500,249,
Brushstrokes and Beverages,https://www.livingsocial.com/deals/1636910-2-hour-painting-event-for-1-person,Multiple Locations, 45,25,
Divine Healing Zone,https://www.livingsocial.com/deals/1633882-90-minute-swedish-or-deep-tissue-massage,"Lake Forest, CA", 105,59,
Breeze Cosmetic Surgery and Med Spa,https://www.livingsocial.com/deals/1614860-sclerotherapy-treatments-or-botox,"Huntington Beach, CA", 240,99,
Eco Auto Care Park & Wash,https://www.livingsocial.com/deals/1636508-auto-detailing-package,"Pasadena, CA", 175,39,
The Orange County Register,https://www.livingsocial.com/deals/1621808-sunday-subscription-to-the-orange-county-register,Los Angeles Area, 168,5,
Fillaseat LA,https://www.livingsocial.com/deals/1643324-1-year-event-membership-for-two-people,Los Angeles Area, 90,45,
Painting & Vino,https://www.livingsocial.com/deals/1625430-1-or-2-tickets-to-a-3-hour-social-painting-class,Multiple Locations, 45,24,
Rotor F/X,https://www.livingsocial.com/deals/1272208-a-sightseeing-experience-like-no-other-with-an-airplane-tour-or-flight-lesson,"Pacoima, CA", 229,99,
The Reptile Zoo,https://www.livingsocial.com/deals/1645266-general-admission-tickets-to-the-reptile-zoo,"Fountain Valley, CA", 68,33,
Visionary Artware,https://www.livingsocial.com/deals/1641468-taste-of-mosaics-and-wine-for-1-or-2-people,"Long Beach, CA", 72,39,
Rancho Las Lomas Wildlife Foundation,https://www.livingsocial.com/deals/1627736-75-minute-wildlife-tour-for-two,"Silverado, CA", 60,29,
Davey's Locker Whale Watching,https://www.livingsocial.com/deals/1612818-2-5-hour-whale-watching-cruise,"Newport Beach, CA", 36,12,
Barr Window Cleaning,https://www.livingsocial.com/deals/1639862-complete-exterior-window-cleaning-of-15-windows,Los Angeles Area, 168,59,
Race Entry Package to Night Nation Run,https://www.livingsocial.com/events/1635986-race-entry-package-to-night-nation-run,"Anaheim, CA", 60,29,Apr 29
